VCD info: dumpfile Sumadores.vcd opened for output.
No. Suma =           1: Operador A =   0, Operador B =  54, Sumador_1 =  54, Sumador_2 =   z, Sumador_3=  z
No. Suma =           2: Operador A = 221, Operador B =  68, Sumador_1 =  33, Sumador_2 =   z, Sumador_3=  z
No. Suma =           3: Operador A = 139, Operador B = 209, Sumador_1 =  92, Sumador_2 =   z, Sumador_3=  z
No. Suma =           4: Operador A = 141, Operador B = 185, Sumador_1 =  70, Sumador_2 =   z, Sumador_3=  z
No. Suma =           5: Operador A = 214, Operador B =  19, Sumador_1 = 233, Sumador_2 =   z, Sumador_3=  z
No. Suma =           6: Operador A = 226, Operador B = 110, Sumador_1 =  80, Sumador_2 =   z, Sumador_3=  z
No. Suma =           7: Operador A =  72, Operador B =  22, Sumador_1 =  94, Sumador_2 =   z, Sumador_3=  z
No. Suma =           8: Operador A = 101, Operador B =  53, Sumador_1 = 154, Sumador_2 =   z, Sumador_3=  z
No. Suma =           9: Operador A = 177, Operador B =  53, Sumador_1 = 230, Sumador_2 =   z, Sumador_3=  z
No. Suma =          10: Operador A = 192, Operador B =  84, Sumador_1 =  20, Sumador_2 =   z, Sumador_3=  z
No. Suma =          11: Operador A = 162, Operador B = 199, Sumador_1 = 105, Sumador_2 =   z, Sumador_3=  z
No. Suma =          12: Operador A =  45, Operador B = 246, Sumador_1 =  35, Sumador_2 =   z, Sumador_3=  z
No. Suma =          13: Operador A = 143, Operador B =  85, Sumador_1 = 228, Sumador_2 =   z, Sumador_3=  z
No. Suma =          14: Operador A =  37, Operador B = 171, Sumador_1 = 208, Sumador_2 =   z, Sumador_3=  z
No. Suma =          15: Operador A = 247, Operador B = 154, Sumador_1 = 145, Sumador_2 =   z, Sumador_3=  z
No. Suma =          16: Operador A =  76, Operador B =  65, Sumador_1 = 141, Sumador_2 =   z, Sumador_3=  z
No. Suma =          17: Operador A =  53, Operador B =  59, Sumador_1 = 112, Sumador_2 =   z, Sumador_3=  z
No. Suma =          18: Operador A = 206, Operador B = 152, Sumador_1 = 102, Sumador_2 =   z, Sumador_3=  z
No. Suma =          19: Operador A =  12, Operador B = 175, Sumador_1 = 187, Sumador_2 =   z, Sumador_3=  z
No. Suma =          20: Operador A =  30, Operador B = 198, Sumador_1 = 228, Sumador_2 =   z, Sumador_3=  z
No. Suma =          21: Operador A = 142, Operador B =  93, Sumador_1 = 235, Sumador_2 =   z, Sumador_3=  z
No. Suma =          22: Operador A = 104, Operador B =  32, Sumador_1 = 136, Sumador_2 =   z, Sumador_3=  z
No. Suma =          23: Operador A = 103, Operador B =  82, Sumador_1 = 185, Sumador_2 =   z, Sumador_3=  z
No. Suma =          24: Operador A = 133, Operador B = 131, Sumador_1 =   8, Sumador_2 =   z, Sumador_3=  z
No. Suma =          25: Operador A =  57, Operador B = 153, Sumador_1 = 210, Sumador_2 =   z, Sumador_3=  z
No. Suma =          26: Operador A = 216, Operador B = 119, Sumador_1 =  79, Sumador_2 =   z, Sumador_3=  z
No. Suma =          27: Operador A =  10, Operador B = 166, Sumador_1 = 176, Sumador_2 =   z, Sumador_3=  z
No. Suma =          28: Operador A = 222, Operador B = 126, Sumador_1 =  92, Sumador_2 =   z, Sumador_3=  z
No. Suma =          29: Operador A = 115, Operador B = 202, Sumador_1 =  61, Sumador_2 =   z, Sumador_3=  z
No. Suma =          30: Operador A = 214, Operador B =  47, Sumador_1 =   5, Sumador_2 =   z, Sumador_3=  z
No. Suma =          31: Operador A = 143, Operador B =  43, Sumador_1 = 186, Sumador_2 =   z, Sumador_3=  z
No. Suma =          32: Operador A =  81, Operador B = 105, Sumador_1 = 186, Sumador_2 =   z, Sumador_3=  z
No. Suma =          33: Operador A =  97, Operador B =  61, Sumador_1 = 158, Sumador_2 =   z, Sumador_3=  z
No. Suma =          34: Operador A = 250, Operador B =  71, Sumador_1 =  65, Sumador_2 =   z, Sumador_3=  z
No. Suma =          35: Operador A = 162, Operador B =  37, Sumador_1 = 199, Sumador_2 =   z, Sumador_3=  z
No. Suma =          36: Operador A = 136, Operador B =  28, Sumador_1 = 164, Sumador_2 =   z, Sumador_3=  z
No. Suma =          37: Operador A = 188, Operador B =  14, Sumador_1 = 202, Sumador_2 =   z, Sumador_3=  z
No. Suma =          38: Operador A =  21, Operador B =  27, Sumador_1 =  48, Sumador_2 =   z, Sumador_3=  z
No. Suma =          39: Operador A = 221, Operador B = 225, Sumador_1 = 190, Sumador_2 =   z, Sumador_3=  z
No. Suma =          40: Operador A = 193, Operador B = 248, Sumador_1 = 185, Sumador_2 =   z, Sumador_3=  z
No. Suma =          41: Operador A = 221, Operador B =  87, Sumador_1 =  52, Sumador_2 =   z, Sumador_3=  z
No. Suma =          42: Operador A = 250, Operador B =  47, Sumador_1 =  41, Sumador_2 =   z, Sumador_3=  z
No. Suma =          43: Operador A =   0, Operador B = 223, Sumador_1 = 223, Sumador_2 =   z, Sumador_3=  z
No. Suma =          44: Operador A =  61, Operador B =  37, Sumador_1 =  98, Sumador_2 =   z, Sumador_3=  z
No. Suma =          45: Operador A =  38, Operador B =  79, Sumador_1 = 117, Sumador_2 =   z, Sumador_3=  z
No. Suma =          46: Operador A = 161, Operador B = 229, Sumador_1 = 134, Sumador_2 =   z, Sumador_3=  z
No. Suma =          47: Operador A = 146, Operador B = 216, Sumador_1 = 106, Sumador_2 =   z, Sumador_3=  z
No. Suma =          48: Operador A =  25, Operador B = 175, Sumador_1 = 200, Sumador_2 =   z, Sumador_3=  z
No. Suma =          49: Operador A = 206, Operador B =  58, Sumador_1 =   8, Sumador_2 =   z, Sumador_3=  z
No. Suma =          50: Operador A = 168, Operador B =   5, Sumador_1 = 173, Sumador_2 =   z, Sumador_3=  z
No. Suma =          51: Operador A = 213, Operador B = 164, Sumador_1 = 121, Sumador_2 =   z, Sumador_3=  z
No. Suma =          52: Operador A = 124, Operador B = 134, Sumador_1 =   2, Sumador_2 =   z, Sumador_3=  z
No. Suma =          53: Operador A =  10, Operador B =  70, Sumador_1 =  80, Sumador_2 =   z, Sumador_3=  z
No. Suma =          54: Operador A =  53, Operador B =  48, Sumador_1 = 101, Sumador_2 =   z, Sumador_3=  z
No. Suma =          55: Operador A =  38, Operador B =   2, Sumador_1 =  40, Sumador_2 =   z, Sumador_3=  z
No. Suma =          56: Operador A =  47, Operador B =  96, Sumador_1 = 143, Sumador_2 =   z, Sumador_3=  z
No. Suma =          57: Operador A = 158, Operador B =  61, Sumador_1 = 219, Sumador_2 =   z, Sumador_3=  z
No. Suma =          58: Operador A =  59, Operador B =  46, Sumador_1 = 105, Sumador_2 =   z, Sumador_3=  z
